POId,Site Name,SiteId,MR-Volume(KWh),D-REC Volume(KWh),%Tokenized
88079,Sursand,7e43893d-d5a5-4562-96d2-006c9162bdfb,10538.000000000002,10537.998,0.999999810210666
25451revisedA,Miniplast,1fc71ee8-a302-4894-b40c-801f6344200a,1194086.454,883351.87,0.739772122061105
37757a,LN000346,47ecbc48-03c8-42a4-9f2c-37b63cd05e38,3688.2002000000007,3674.6,0.9963125103675227
88079,Jakhania(Ghazipur),0093e615-26e8-4363-abfb-eb8ff04aa692,12504,12503.998,0.9999998400511836
37757b,LN000232,fbc5f1ee-1698-412a-8409-9613d5e1420c,4452.5002,4452.5,0.9999999550814168
96570SME,Banwari lal,0a5f11a2-f644-4e4b-b294-f741945f3c61,19261.830100000003,18423.64,0.9564843996832884
96570SME,Ankit Kumar GulSher,f8c4d5e8-160b-40c2-ba70-859aff4a848e,12619.3701,12139.27,0.9619553039339104
96570SME,Anil,f0001f79-c34d-4a5d-b602-1f7237f3dee0,7114.200100000001,6860.7,0.9643670270112306
96570SME,Nijamuddeen,68d87e1e-3208-46d5-bac5-1a04224d47c1,10262.3001,9791.3,0.9541038465635983
96570SME,Mohd. Waris,230b2f84-fe6f-4e39-b730-79114280ebe5,11678.190100000002,11141.19,0.954016838619539
37757a,LN000340,26e44bc9-2c2d-4a24-a887-4bbd3515e756,3369.4402000000005,3361.83,0.9977414052340206
37757a,LN000359,d9adf4bb-14d6-4053-8170-989b2f5f56f8,10345.7002,10290.4,0.994654764884836
37757a,LN000314,62290d3f-c84d-4be5-bf88-76d73254704e,3710.7002000000007,3689.5,0.9942867386591887
88079,Sujanganj(Jaunpur),ac21ec01-c84c-49f1-8363-7e8238955789,12615.999999999998,12615.998,0.9999998414711478
88079,Kopa,3969c0c8-4bdd-42aa-83c0-e7131066ac23,13896,13896.002,1.0000001439263095
88079,Dobhi,ac58bdeb-d68b-4153-9d38-c5b141b990a7,59020,59020,1
88079,Puraini,97574a00-d64e-4a98-8405-90b389e68420,20828,20828,1
88079,Pindra Bazar,7a34e74e-fd60-4ae0-a20c-8ddf68cda966,33372,33372,1
88079,Parsipur,4944bae9-c3d3-4a3d-ba24-06136005756c,46446,46446,1
88079,Fatehpur,554b8042-03a4-48cf-949e-dddd58376558,43762,43762,1
37757a,LN000373,5e92bf03-0067-46fe-83d1-5a1d9c21afc0,7474.600200000001,7454,0.9972439729953715
37757a,LN000361,b10d4179-72dd-4c1f-ad3b-2a1a74a344cd,4325.4002,4304.9,0.995260507917857
88079,Kanti,71f1cf23-c282-4bbe-a4ca-976486983cbb,8861.999999999995,8861.996,0.9999995486346203
88079,Gosai Ki Bazar,f0a77b94-fc9e-4184-9ae2-cdaf919f8943,50018,50018,1
88079,Ekma,bd4aa5db-2679-4f1c-9f4b-4df8dbc8a677,8162.000000000001,8161.998,0.9999997549620191
88079,Bhagwanpur-V,88e43a29-0497-4d96-bb2b-dea156052910,8095.999999999998,8096.002,1.0000002470355733
88079,Bansdih,149c6ffa-8056-45a8-bf8d-28c177648887,8535.999999999998,8535.998,0.9999997656982195
88079,Baktiyarpur,c21febec-63a5-42cf-b317-9bdf66848ba0,32262,32262,1
85838,Starwire India Limited,559fab73-e6b6-41a6-ad5c-37a2c007d6bb,958007.4001999998,22419.2,0.023401906911491105
71402b,Peduase,61d1b899-1fee-4b1e-b426-89c250830817,59188.00000000001,59188,0.9999999999999999
71402b,Lincoln Community School,667bf792-fa8e-4e0c-af2d-bbd7fd9878a4,403804.00000000006,403804,0.9999999999999999
71402a,MTN South Legon,e21602ac-0705-47a3-839b-0635d2f159f0,904403.9999989999,902415.22,0.9978010048617629
58172a,Assam,bc758d7f-8051-47fb-9864-f9795b42726c,8352.000200030001,8352,0.9999999760500483
37757a,LN000393,af0f40ac-9495-4f02-a36d-67352419ce28,8066.4302,8033.23,0.9958841520751026
88079,Sohawal,7abd173a-e4ba-43f9-bbf8-458ce3bd8bd1,9734.967742035486,9325.932,0.9579828353956148
96570SME1,Kamlesh Paraspur,7ed2970b-3908-46a9-becc-3ca033b8f4e5,14196.401162129998,13582.278,0.9567409264421028
37757a,LN000387,280e1e83-6a7a-4bc8-8946-a25911f1b219,5181.500200000001,5143.2,0.9926082797410678
96570SME2,C02707-Ramnewaj,4ffc58f6-4a1f-480d-901b-f371c7790547,8974,8961,0.9985513706262537
99521A,B2 workshop,da9c00f5-9a1d-4c90-835f-cf8b3a687edc,1052904,759542.58,0.7213787581773837
37757b,LN000598,fdb5b3a0-e841-4803-a754-d9b2d1d90d0d,33799.33,24989.96,0.7393625849979866
37757a,LN000386,d727306a-dc7e-41de-96c0-8ae7b4783b75,5766.6002,5764.1,0.9995664343090752
71402b,The Palms,4d4ce739-4491-4e1f-9679-c5f731d9deec,199118.22999999998,198424.221,0.9965145883428153
88079,Lambhua,05b87e03-51fb-4667-ab5f-be459970be07,46265,39354,0.850621420079974
37757a,LN000454,fff292be-8dc4-4b18-b8f5-f3e3e011a17e,4461.200199999999,4461.2,0.9999999551690149
37757a,LN000394,6a08e4c2-6916-418a-a120-a7a80f34490e,5453.640200000001,5424.58,0.9946714123164926
37757b,LN000268,a09f9e6c-d8fa-4fb6-9d85-98d24ec724e0,5574.68,5574.68,1
71402a,MTN Sakaman,8764829d-d871-446e-9262-d0a5929fa3a2,944825.094,879125.528,0.9304637795744235
96570SME1,C01993-Mahmood Alam,ffe3643e-4004-4a0c-9d48-20d8cb1cbc83,5218.3000999999995,5038.4,0.9655251525300357
88079,Baraunsa,d7d7b0ac-cdef-4df7-9a92-f9e62fac492f,5940,5939.996,0.9999993265993266
96570SME1,C02514-Ramveer,db027b53-ea97-4260-b091-88da37f2aeb0,8173.6001000000015,7593.8,0.929064293223741
96570SME1,C02516-Vijay Kumar Kasudhan,8b007517-c659-4b11-b743-df3a436eab60,6169.3001,5734,0.9294409263702377
12612,Batheay,65cc0ae6-6df5-4c98-825c-3c7333018df4,847464.90894,267836,0.31604376437840526
37757b,LN000281,35fc4cf7-5731-471c-ad41-7109c518ef8f,34320.00000000001,34320,0.9999999999999998
37757b,LN000283,763e8738-90bf-4cbd-a20d-4eeca2f17720,7550.799999999999,7550.8,1.0000000000000002
37757b,LN000298,41981b82-09c1-4e25-a8b8-137e9d7341f3,1943.3999999999999,1943.4,1.0000000000000002
37757a,LN000428,141940c2-ef55-4855-9fc5-82ba5bef8437,6861.600200000001,6821.1,0.9940975575930524
37757a,LN000400,8fb4523d-0df1-4f01-9d22-a55c6e2d3766,7297.900200000001,7276.4,0.9970539197014504
37757b,LN000130,72bfb96d-4bee-4c90-b15d-356849d87ca1,5972.279999999999,5972.28,1.0000000000000002
88079,Sanhoula,3b129c28-4d2a-4d26-b1e7-b99546d07b94,5978,5978,1
37757a,LN000413,f174ec90-517e-4a5a-9538-35de713e66a2,9829.2002,9752.6,0.9922068735562025
88079,Tindwari ( Banda),23176865-3373-4420-ad48-8a4a981c7aa0,22218,22218,1
37757c,LN000304,2e517c6e-1b4b-4dca-82ee-23486fdf566a,76777.55,76647.05,0.9983002843930288
37757a,LN000410,6eab23bf-e62a-40ee-b501-668ea8d6fbd5,2731.5701999999997,2721.47,0.9963024197584233
37757c,LN000208 - device 1,8fd66599-3ce3-401f-a98e-81ddf6d91e21,49859.500299999985,49546.9,0.9937303763952888
37757b,LN000133,7287f074-71dd-4ad4-964a-baa7755ed307,5214.3,5214.3,0.9999999999999998
37757b,LN000297,16d8e313-47a2-4373-82fd-342e121f4c79,8662.800000000001,8662.8,1
37757b,LN000204,a18e8bae-b8ee-4189-b255-5e0a242b4883,32151.460100000004,32151.46,0.9999999968897213
37757a,LN000571,fc439329-1430-4a70-8829-2ccb0c0c4863,6785.800200000001,6752.4,0.9950779275817757
95269A,Terrestrial,54894149-6fa3-43b6-8842-24204513988d,472923.3349848701,419489.9,0.8870145940534324
37757b,LN000730,05bec069-6cf1-412b-a7e7-3824a166c0a0,6130.200000000001,6130.2,1
88079,Mankapur,88525c16-9479-43e0-ad3e-9aa734de05f2,37294,37294,1
96570SME2,C02641-Shuban Ali,55b40411-b3dd-412a-acb7-d5e04ee8ba77,10111.300000000001,10106.8,0.9995549533690028
96570SME2,C02713-Kuldeep Kumar,81731eda-c205-4cbf-a85b-c61da20c4269,11041.200000000003,11023.8,0.9984240843386587
96570SME1,C02561-Gaurav Kumar Singh,bcbb356b-01f6-4a4c-af6f-627a59546a99,8700.7001,8042,0.9242934370304292
